Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2012,Rising Star Award,,,,,Elizabeth Olsen,FALSE,,,
2012,Rising Star Award,,,,,Andrea Riseborough,FALSE,,,
2012,Rising Star Award,,,,,Suraj Sharma,FALSE,,,
2012,Rising Star Award,,,,,Alicia Vikander,FALSE,,,
2011,Best Film,Live-Action Feature-Length Film,The Artist,,France,Michel Hazanavicius,TRUE,Director,,
2011,Best Film,Live-Action Feature-Length Film,The Artist,,France,Thomas Langmann,TRUE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,The Descendants,,United States,Alexander Payne,FALSE,Director,,
2011,Best Film,Live-Action Feature-Length Film,The Descendants,,United States,Alexander Payne,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,The Descendants,,United States,Jim Taylor,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,The Descendants,,United States,Jim Burke,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,Drive,,United States,Nicolas Winding Refn,FALSE,Director,,
2011,Best Film,Live-Action Feature-Length Film,Drive,,United States,Adam Siegel,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,Drive,,United States,Marc Platt,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,The Help,,United States,Tate Taylor,FALSE,Director,,
2011,Best Film,Live-Action Feature-Length Film,The Help,,United States,Brunson Green,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,The Help,,United States,Chris Columbus,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,The Help,,United States,Michael Barnathan,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,Tinker Tailor Soldier Spy,,United States,Tomas Alfredson,FALSE,Director,,
2011,Best Film,Live-Action Feature-Length Film,Tinker Tailor Soldier Spy,,United States,Tim Bevan,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,Tinker Tailor Soldier Spy,,United States,Robyn Slovo,FALSE,Producer,,
2011,Best Film,Live-Action Feature-Length Film,Tinker Tailor Soldier Spy,,United States,Eric Fellner,FALSE,Producer,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Tomas Alfredson,TRUE,Director,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Tomas Alfredson,TRUE,Producer,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Eric Fellner,TRUE,Producer,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Bridget O'Connor,TRUE,Producer,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Peter Straughan,TRUE,Producer,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Robyn Slovo,TRUE,Producer,,
2011,Outstanding British Film,,Tinker Tailor Soldier Spy,,United Kingdom,Tim Bevan,TRUE,Producer,,
2011,Outstanding British Film,,My Week with Marilyn,,United Kingdom,Simon Curtis,FALSE,Director,,
2011,Outstanding British Film,,My Week with Marilyn,,United Kingdom,Simon Curtis,FALSE,Producer,,
2011,Outstanding British Film,,My Week with Marilyn,,United Kingdom,Adrian Hodges,FALSE,Producer,,
2011,Outstanding British Film,,My Week with Marilyn,,United Kingdom,David Parfitt,FALSE,Producer,,
2011,Outstanding British Film,,My Week with Marilyn,,United Kingdom,Harvey Weinstein,FALSE,Producer,,
2011,Outstanding British Film,,Senna,,United Kingdom,Asif Kapadia,FALSE,Director,,
2011,Outstanding British Film,,Senna,,United Kingdom,Tim Bevan,FALSE,Producer,,
2011,Outstanding British Film,,Senna,,United Kingdom,Eric Fellner,FALSE,Producer,,
2011,Outstanding British Film,,Senna,,United Kingdom,James Gay-Rees,FALSE,Producer,,
2011,Outstanding British Film,,Senna,,United Kingdom,Asif Kapadia,FALSE,Producer,,
2011,Outstanding British Film,,Senna,,United Kingdom,Manish Pandey,FALSE,Producer,,
2011,Outstanding British Film,,Shame,,United Kingdom,Steve McQueen,FALSE,Director,,
2011,Outstanding British Film,,Shame,,United Kingdom,Emile Sherman,FALSE,Producer,,
2011,Outstanding British Film,,Shame,,United Kingdom,Abi Morgan,FALSE,Producer,,
2011,Outstanding British Film,,Shame,,United Kingdom,Steve McQueen,FALSE,Producer,,
2011,Outstanding British Film,,Shame,,United Kingdom,Iain Canning,FALSE,Producer,,
2011,Outstanding British Film,,We Need to Talk About Kevin,,United Kingdom,Lynne Ramsay,FALSE,Director,,
2011,Outstanding British Film,,We Need to Talk About Kevin,,United Kingdom,Jennifer Fox,FALSE,Producer,,
2011,Outstanding British Film,,We Need to Talk About Kevin,,United Kingdom,Rory Stewart Kinnear,FALSE,Producer,,
2011,Outstanding British Film,,We Need to Talk About Kevin,,United Kingdom,Lynne Ramsay,FALSE,Producer,,
2011,Outstanding British Film,,We Need to Talk About Kevin,,United Kingdom,Luc Roeg,FALSE,Producer,,
2011,Outstanding British Film,,We Need to Talk About Kevin,,United Kingdom,Robert Salerno,FALSE,Producer,,
2011,Best Film Not in the English Language,Foreign Film,The Skin I Live In,La piel que habito,Spain,Pedro Almodóvar,TRUE,Director,,
2011,Best Film Not in the English Language,Foreign Film,The Skin I Live In,La piel que habito,Spain,Agustín Almodóvar,TRUE,Producer,,
