Year,Category,Nominee,Film,Concordance,Won
2013,Documentaries,Jehane Noujaim,The Square,Directing,TRUE
2013,Documentaries,Zachary Heinzerling,Cutie and the Boxer,Directing,FALSE
2013,Documentaries,Joshua Oppenheimer,The Act of Killing,Directing,FALSE
2013,Documentaries,Sarah Polley,Stories We Tell,Directing,FALSE
2013,Documentaries,Lucy Walker,The Crash Reel,Directing,FALSE
2012,First-Time Feature Film,,,Directing,TRUE
2012,First-Time Feature Film,,,Directing,FALSE
2012,First-Time Feature Film,,,Directing,FALSE
2012,First-Time Feature Film,,,Directing,FALSE
2012,First-Time Feature Film,,,Directing,FALSE
2012,Feature Film,Ben Affleck,Argo,Directing,TRUE
2012,Feature Film,Kathryn Bigelow,Zero Dark Thirty,Directing,FALSE
2012,Feature Film,Tom Hooper,Les Misérables,Directing,FALSE
2012,Feature Film,Ang Lee,Life of Pi,Directing,FALSE
2012,Feature Film,Steven Spielberg,Lincoln,Directing,FALSE
2012,Documentaries,Malik Bendjelloul,Searching for Sugar Man,Directing,TRUE
2012,Documentaries,Kirby Dick,The Invisible War,Directing,FALSE
2012,Documentaries,David France,How to Survive a Plague,Directing,FALSE
2012,Documentaries,Lauren Greenfield,The Queen of Versailles,Directing,FALSE
2012,Documentaries,Alison Klayman,Ai Weiwei: Never Sorry,Directing,FALSE
2011,First-Time Feature Film,,,Directing,TRUE
2011,First-Time Feature Film,,,Directing,FALSE
2011,First-Time Feature Film,,,Directing,FALSE
2011,First-Time Feature Film,,,Directing,FALSE
2011,First-Time Feature Film,,,Directing,FALSE
2011,Feature Film,Michel Hazanavicius,The Artist,Directing,TRUE
2011,Feature Film,Woody Allen,Midnight in Paris,Directing,FALSE
2011,Feature Film,David Fincher,The Girl with the Dragon Tattoo,Directing,FALSE
2011,Feature Film,Alexander Payne,The Descendants,Directing,FALSE
2011,Feature Film,Martin Scorsese,Hugo,Directing,FALSE
2011,Documentaries,James Marsh,Project Nim,Directing,TRUE
2011,Documentaries,Joe Berlinger,Paradise Lost 3: Purgatory,Directing,FALSE
2011,Documentaries,Bruce Sinofsky,Paradise Lost 3: Purgatory,Directing,FALSE
2011,Documentaries,Steve James,The Interrupters,Directing,FALSE
2011,Documentaries,Richard Press,Bill Cunningham New York,Directing,FALSE
2011,Documentaries,Martin Scorsese,George Harrison: Living in the Material World,Directing,FALSE
2010,First-Time Feature Film,,,Directing,TRUE
2010,First-Time Feature Film,,,Directing,FALSE
2010,First-Time Feature Film,,,Directing,FALSE
2010,First-Time Feature Film,,,Directing,FALSE
2010,First-Time Feature Film,,,Directing,FALSE
2010,Feature Film,Tom Hooper,The King's Speech,Directing,TRUE
2010,Feature Film,Darren Aronofsky,Black Swan,Directing,FALSE
2010,Feature Film,David Fincher,The Social Network,Directing,FALSE
2010,Feature Film,Christopher Nolan,Inception,Directing,FALSE
2010,Feature Film,David O. Russell,The Fighter,Directing,FALSE
2010,Documentaries,Charles Ferguson,Inside Job,Directing,TRUE
2010,Documentaries,Lixin Fan,Last Train Home,Directing,FALSE
2010,Documentaries,Alex Gibney,Client 9: The Rise and Fall of Eliot Spitzer,Directing,FALSE
2010,Documentaries,Davis Guggenheim,"Waiting for ""Superman""",Directing,FALSE
2010,Documentaries,Tim Hetherington,Restrepo,Directing,FALSE
2010,Documentaries,Sebastian Junger,Restrepo,Directing,FALSE
2009,First-Time Feature Film,,,Directing,TRUE
2009,First-Time Feature Film,,,Directing,FALSE
2009,First-Time Feature Film,,,Directing,FALSE
2009,First-Time Feature Film,,,Directing,FALSE
2009,First-Time Feature Film,,,Directing,FALSE
2009,First-Time Feature Film,,,Directing,FALSE
2009,Feature Film,Kathryn Bigelow,The Hurt Locker,Directing,TRUE
2009,Feature Film,James Cameron,Avatar,Directing,FALSE
2009,Feature Film,Lee Daniels,Precious,Directing,FALSE
2009,Feature Film,Jason Reitman,Up in the Air,Directing,FALSE
2009,Feature Film,Quentin Tarantino,Inglourious Basterds,Directing,FALSE
2009,Feature Film,,,Directing,FALSE
2009,Documentaries,Louie Psihoyos,The Cove,Directing,TRUE
2009,Documentaries,Sacha Gervasi,Anvil! The Story of Anvil,Directing,FALSE
2009,Documentaries,Mai Iskander,Garbage Dreams,Directing,FALSE
2009,Documentaries,Robert Kenner,"Food, Inc.",Directing,FALSE
2009,Documentaries,Geoffrey Smith,The English Surgeon,Directing,FALSE
2009,Documentaries,Agnès Varda,The Beaches of Agnès,Directing,FALSE
2008,First-Time Feature Film,,,Directing,TRUE
2008,First-Time Feature Film,,,Directing,FALSE
2008,First-Time Feature Film,,,Directing,FALSE
2008,First-Time Feature Film,,,Directing,FALSE
2008,First-Time Feature Film,,,Directing,FALSE
2008,Feature Film,Danny Boyle,Slumdog Millionaire,Directing,TRUE
2008,Feature Film,David Fincher,The Curious Case of Benjamin Button,Directing,FALSE
2008,Feature Film,Ron Howard,Frost/Nixon,Directing,FALSE
2008,Feature Film,Christopher Nolan,The Dark Knight,Directing,FALSE
2008,Feature Film,Gus Van Sant,Milk,Directing,FALSE
2008,Documentaries,Ari Folman,Waltz with Bashir,Directing,TRUE
2008,Documentaries,Peter Gilbert,At the Death House Door,Directing,FALSE
2008,Documentaries,Steve James,At the Death House Door,Directing,FALSE
2008,Documentaries,Elizabeth Farnsworth,The Judge and the General,Directing,FALSE
2008,Documentaries,Patricio Lanfranco,The Judge and the General,Directing,FALSE
2008,Documentaries,James Marsh,Man on Wire,Directing,FALSE
2008,Documentaries,Gonzalo Arijón,Stranded: I've Come from a Plane that Crashed in the Mountains,Directing,FALSE
2007,First-Time Feature Film,,,Directing,TRUE
2007,First-Time Feature Film,,,Directing,FALSE
2007,First-Time Feature Film,,,Directing,FALSE
